long,lat,order,hole,piece,group,id,abb_gpo,name,type
87.4871131,-90,1,FALSE,1,ID.1,ID,Idaho,Idaho,state
104.807621,-100,2,FALSE,1,ID.1,ID,Idaho,Idaho,state
104.807621,-120,3,FALSE,1,ID.1,ID,Idaho,Idaho,state
87.4871131,-130,4,FALSE,1,ID.1,ID,Idaho,Idaho,state
70.166605,-120,5,FALSE,1,ID.1,ID,Idaho,Idaho,state
70.166605,-100,6,FALSE,1,ID.1,ID,Idaho,Idaho,state
87.4871131,-90,7,FALSE,1,ID.1,ID,Idaho,Idaho,state
226.051178,-90,1,FALSE,1,IL.1,IL,Ill.,Illinois,state
243.371686,-100,2,FALSE,1,IL.1,IL,Ill.,Illinois,state
243.371686,-120,3,FALSE,1,IL.1,IL,Ill.,Illinois,state
226.051178,-130,4,FALSE,1,IL.1,IL,Ill.,Illinois,state
208.73067,-120,5,FALSE,1,IL.1,IL,Ill.,Illinois,state
208.73067,-100,6,FALSE,1,IL.1,IL,Ill.,Illinois,state
226.051178,-90,7,FALSE,1,IL.1,IL,Ill.,Illinois,state
260.692194,-90,1,FALSE,1,IN.1,IN,Ind.,Indiana,state
278.012702,-100,2,FALSE,1,IN.1,IN,Ind.,Indiana,state
278.012702,-120,3,FALSE,1,IN.1,IN,Ind.,Indiana,state
260.692194,-130,4,FALSE,1,IN.1,IN,Ind.,Indiana,state
243.371686,-120,5,FALSE,1,IN.1,IN,Ind.,Indiana,state
243.371686,-100,6,FALSE,1,IN.1,IN,Ind.,Indiana,state
260.692194,-90,7,FALSE,1,IN.1,IN,Ind.,Indiana,state
191.410162,-90,1,FALSE,1,IA.1,IA,Iowa,Iowa,state
208.73067,-100,2,FALSE,1,IA.1,IA,Iowa,Iowa,state
208.73067,-120,3,FALSE,1,IA.1,IA,Iowa,Iowa,state
191.410162,-130,4,FALSE,1,IA.1,IA,Iowa,Iowa,state
174.089653,-120,5,FALSE,1,IA.1,IA,Iowa,Iowa,state
174.089653,-100,6,FALSE,1,IA.1,IA,Iowa,Iowa,state
191.410162,-90,7,FALSE,1,IA.1,IA,Iowa,Iowa,state
191.410162,-150,1,FALSE,1,KS.1,KS,Kans.,Kansas,state
208.73067,-160,2,FALSE,1,KS.1,KS,Kans.,Kansas,state
208.73067,-180,3,FALSE,1,KS.1,KS,Kans.,Kansas,state
191.410162,-190,4,FALSE,1,KS.1,KS,Kans.,Kansas,state
174.089653,-180,5,FALSE,1,KS.1,KS,Kans.,Kansas,state
174.089653,-160,6,FALSE,1,KS.1,KS,Kans.,Kansas,state
191.410162,-150,7,FALSE,1,KS.1,KS,Kans.,Kansas,state
243.371686,-120,1,FALSE,1,KY.1,KY,Ky.,Kentucky,state
260.692194,-130,2,FALSE,1,KY.1,KY,Ky.,Kentucky,state
260.692194,-150,3,FALSE,1,KY.1,KY,Ky.,Kentucky,state
243.371686,-160,4,FALSE,1,KY.1,KY,Ky.,Kentucky,state
226.051178,-150,5,FALSE,1,KY.1,KY,Ky.,Kentucky,state
226.051178,-130,6,FALSE,1,KY.1,KY,Ky.,Kentucky,state
243.371686,-120,7,FALSE,1,KY.1,KY,Ky.,Kentucky,state
208.73067,-180,1,FALSE,1,LA.1,LA,La.,Louisiana,state
