X,Y,id,group,eta_region,eta_region_name,eta_region_city
312.653718,-120,5,6,5,Region 5,Chicago
295.33321,-130,5,6,5,Region 5,Chicago
278.012702,-120,5,6,5,Region 5,Chicago
260.692194,-130,5,6,5,Region 5,Chicago
243.371686,-120,5,6,5,Region 5,Chicago
226.051178,-130,5,6,5,Region 5,Chicago
226.051178,-150,5,6,5,Region 5,Chicago
208.73067,-160,5,6,5,Region 5,Chicago
208.73067,-180,5,6,5,Region 5,Chicago
191.410162,-190,5,6,5,Region 5,Chicago
174.089653,-180,5,6,5,Region 5,Chicago
174.089653,-160,5,6,5,Region 5,Chicago
156.769145,-150,5,6,5,Region 5,Chicago
156.769145,-130,5,6,5,Region 5,Chicago
174.089653,-120,5,6,5,Region 5,Chicago
174.089653,-100,5,6,5,Region 5,Chicago
156.769145,-90,5,6,5,Region 5,Chicago
156.769145,-70,5,6,5,Region 5,Chicago
174.089653,-60,5,6,5,Region 5,Chicago
191.410162,-70,5,6,5,Region 5,Chicago
70.166605,-240,6,7,6,Region 6,San Francisco
87.4871131,-250,6,7,6,Region 6,San Francisco
87.4871131,-270,6,7,6,Region 6,San Francisco
104.8075,-280,6,7,6,Region 6,San Francisco
104.8075,-300,6,7,6,Region 6,San Francisco
87.4871131,-310,6,7,6,Region 6,San Francisco
70.1665051,-300,6,7,6,Region 6,San Francisco
52.845997,-310,6,7,6,Region 6,San Francisco
35.5254889,-300,6,7,6,Region 6,San Francisco
18.204981,-310,6,7,6,Region 6,San Francisco
0.8844729,-300,6,7,6,Region 6,San Francisco
0.8844729,-280,6,7,6,Region 6,San Francisco
18.204981,-270,6,7,6,Region 6,San Francisco
18.2050808,-270,6,7,6,Region 6,San Francisco
18.2050808,-250,6,7,6,Region 6,San Francisco
35.5255888,-240,6,7,6,Region 6,San Francisco
52.8460969,-250,6,7,6,Region 6,San Francisco
70.166605,-240,6,7,6,Region 6,San Francisco
139.448637,-180,6,8,6,Region 6,San Francisco
156.769145,-190,6,8,6,Region 6,San Francisco
156.769145,-210,6,8,6,Region 6,San Francisco
139.448637,-220,6,8,6,Region 6,San Francisco
122.128129,-210,6,8,6,Region 6,San Francisco
122.128129,-190,6,8,6,Region 6,San Francisco
139.448637,-180,6,8,6,Region 6,San Francisco
87.4871131,-70,6,9,6,Region 6,San Francisco
87.4871131,-90,6,9,6,Region 6,San Francisco
104.807621,-100,6,9,6,Region 6,San Francisco
104.807621,-120,6,9,6,Region 6,San Francisco
122.128129,-130,6,9,6,Region 6,San Francisco
122.128129,-150,6,9,6,Region 6,San Francisco
104.807621,-160,6,9,6,Region 6,San Francisco
104.807621,-180,6,9,6,Region 6,San Francisco
87.4871131,-190,6,9,6,Region 6,San Francisco
70.166605,-180,6,9,6,Region 6,San Francisco
70.166605,-160,6,9,6,Region 6,San Francisco
52.8460969,-150,6,9,6,Region 6,San Francisco
52.8460969,-130,6,9,6,Region 6,San Francisco
70.166605,-120,6,9,6,Region 6,San Francisco
70.166605,-100,6,9,6,Region 6,San Francisco
52.8460969,-90,6,9,6,Region 6,San Francisco
52.8460969,-70,6,9,6,Region 6,San Francisco
70.166605,-60,6,9,6,Region 6,San Francisco
87.4871131,-70,6,9,6,Region 6,San Francisco
35.5255888,0,6,10,6,Region 6,San Francisco
52.8460969,-10,6,10,6,Region 6,San Francisco
52.8460969,-30,6,10,6,Region 6,San Francisco
35.5255888,-40,6,10,6,Region 6,San Francisco
18.2050808,-30,6,10,6,Region 6,San Francisco
18.2050808,-10,6,10,6,Region 6,San Francisco
35.5255888,0,6,10,6,Region 6,San Francisco
