hexmap,abbr_usps,abbr_gpo,abbr_ap,abbr_short,abbr_long,name,fips,geo_type,X,Y,cX,cY
usa52,DE,Del.,Del.,Del.,Dela.,Delaware,10,state,364.615242,-130,381.93575000000004,-140.00000000000003
usa52,DE,Del.,Del.,Del.,Dela.,Delaware,10,state,381.93575,-120,381.93575000000004,-140.00000000000003
usa52,DC,D.C.,D.C.,D.C.,D.Col.,District of Columbia,11,federal district,364.615242,-150,364.615242,-170.00000000000003
usa52,DC,D.C.,D.C.,D.C.,D.Col.,District of Columbia,11,federal district,381.93575,-160,364.615242,-170.00000000000003
usa52,DC,D.C.,D.C.,D.C.,D.Col.,District of Columbia,11,federal district,381.93575,-180,364.615242,-170.00000000000003
usa52,DC,D.C.,D.C.,D.C.,D.Col.,District of Columbia,11,federal district,364.615242,-190,364.615242,-170.00000000000003
usa52,DC,D.C.,D.C.,D.C.,D.Col.,District of Columbia,11,federal district,347.294734,-180,364.615242,-170.00000000000003
usa52,DC,D.C.,D.C.,D.C.,D.Col.,District of Columbia,11,federal district,347.294734,-160,364.615242,-170.00000000000003
usa52,DC,D.C.,D.C.,D.C.,D.Col.,District of Columbia,11,federal district,364.615242,-150,364.615242,-170.00000000000003
usa52,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,295.33321,-210,295.33321,-230
usa52,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,312.653718,-220,295.33321,-230
usa52,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,312.653718,-240,295.33321,-230
usa52,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,295.33321,-250,295.33321,-230
usa52,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,278.012702,-240,295.33321,-230
usa52,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,278.012702,-220,295.33321,-230
usa52,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,295.33321,-210,295.33321,-230
usa52,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,312.653718,-180,312.653718,-200.00000000000003
usa52,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,329.974226,-190,312.653718,-200.00000000000003
usa52,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,329.974226,-210,312.653718,-200.00000000000003
usa52,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,312.653718,-220,312.653718,-200.00000000000003
usa52,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,295.33321,-210,312.653718,-200.00000000000003
usa52,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,295.33321,-190,312.653718,-200.00000000000003
usa52,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,312.653718,-180,312.653718,-200.00000000000003
usa52,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,18.2050808,-240,18.20508074711111,-260
usa52,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,35.5255888,-250,18.20508074711111,-260
usa52,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,35.5255888,-270,18.20508074711111,-260
usa52,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,18.2050808,-280,18.20508074711111,-260
usa52,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,0.884572681,-270,18.20508074711111,-260
usa52,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,0.884572681,-250,18.20508074711111,-260
