hexmap,abbr_usps,abbr_gpo,abbr_ap,abbr_short,abbr_long,name,fips,eta_region,geo_type,eta_region_name,eta_region_city,X,Y,cX,cY
usaETA,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,1,state,Region 1,Boston,416.576766,-100,399.256258,-109.99999999999999
usaETA,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,1,state,Region 1,Boston,416.576766,-120,399.256258,-109.99999999999999
usaETA,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,1,state,Region 1,Boston,399.256258,-130,399.256258,-109.99999999999999
usaETA,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,1,state,Region 1,Boston,381.93575,-120,399.256258,-109.99999999999999
usaETA,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,1,state,Region 1,Boston,381.93575,-100,399.256258,-109.99999999999999
usaETA,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,1,state,Region 1,Boston,399.256258,-90,399.256258,-109.99999999999999
usaETA,DE,Del.,Del.,Del.,Dela.,Delaware,10,2,state,Region 2,Philadelphia,381.93575,-120,381.93575000000004,-140.00000000000003
usaETA,DE,Del.,Del.,Del.,Dela.,Delaware,10,2,state,Region 2,Philadelphia,399.256258,-130,381.93575000000004,-140.00000000000003
usaETA,DE,Del.,Del.,Del.,Dela.,Delaware,10,2,state,Region 2,Philadelphia,399.256258,-150,381.93575000000004,-140.00000000000003
usaETA,DE,Del.,Del.,Del.,Dela.,Delaware,10,2,state,Region 2,Philadelphia,381.93575,-160,381.93575000000004,-140.00000000000003
usaETA,DE,Del.,Del.,Del.,Dela.,Delaware,10,2,state,Region 2,Philadelphia,364.615242,-150,381.93575000000004,-140.00000000000003
usaETA,DE,Del.,Del.,Del.,Dela.,Delaware,10,2,state,Region 2,Philadelphia,364.615242,-130,381.93575000000004,-140.00000000000003
usaETA,DE,Del.,Del.,Del.,Dela.,Delaware,10,2,state,Region 2,Philadelphia,381.93575,-120,381.93575000000004,-140.00000000000003
usaETA,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,3,state,Region 3,Atlanta,295.33321,-210,295.33321,-230
usaETA,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,3,state,Region 3,Atlanta,312.653718,-220,295.33321,-230
