id,abb_usps,abb_gpo,name,fips,eta_region,type,eta_region_name,eta_region_city,X,Y
13,ID,Idaho,Idaho,16,6,state,Region 6,San Francisco,87.4871131,-90
14,IL,Ill.,Illinois,17,5,state,Region 5,Chicago,226.051178,-90
14,IL,Ill.,Illinois,17,5,state,Region 5,Chicago,243.371686,-100
14,IL,Ill.,Illinois,17,5,state,Region 5,Chicago,243.371686,-120
14,IL,Ill.,Illinois,17,5,state,Region 5,Chicago,226.051178,-130
14,IL,Ill.,Illinois,17,5,state,Region 5,Chicago,208.73067,-120
14,IL,Ill.,Illinois,17,5,state,Region 5,Chicago,208.73067,-100
14,IL,Ill.,Illinois,17,5,state,Region 5,Chicago,226.051178,-90
15,IN,Ind.,Indiana,18,5,state,Region 5,Chicago,260.692194,-90
15,IN,Ind.,Indiana,18,5,state,Region 5,Chicago,278.012702,-100
15,IN,Ind.,Indiana,18,5,state,Region 5,Chicago,278.012702,-120
15,IN,Ind.,Indiana,18,5,state,Region 5,Chicago,260.692194,-130
15,IN,Ind.,Indiana,18,5,state,Region 5,Chicago,243.371686,-120
15,IN,Ind.,Indiana,18,5,state,Region 5,Chicago,243.371686,-100
15,IN,Ind.,Indiana,18,5,state,Region 5,Chicago,260.692194,-90
16,IA,Iowa,Iowa,19,5,state,Region 5,Chicago,191.410162,-90
16,IA,Iowa,Iowa,19,5,state,Region 5,Chicago,208.73067,-100
16,IA,Iowa,Iowa,19,5,state,Region 5,Chicago,208.73067,-120
16,IA,Iowa,Iowa,19,5,state,Region 5,Chicago,191.410162,-130
16,IA,Iowa,Iowa,19,5,state,Region 5,Chicago,174.089653,-120
16,IA,Iowa,Iowa,19,5,state,Region 5,Chicago,174.089653,-100
16,IA,Iowa,Iowa,19,5,state,Region 5,Chicago,191.410162,-90
17,KS,Kans.,Kansas,20,5,state,Region 5,Chicago,191.410162,-150
17,KS,Kans.,Kansas,20,5,state,Region 5,Chicago,208.73067,-160
17,KS,Kans.,Kansas,20,5,state,Region 5,Chicago,208.73067,-180
17,KS,Kans.,Kansas,20,5,state,Region 5,Chicago,191.410162,-190
17,KS,Kans.,Kansas,20,5,state,Region 5,Chicago,174.089653,-180
17,KS,Kans.,Kansas,20,5,state,Region 5,Chicago,174.089653,-160
17,KS,Kans.,Kansas,20,5,state,Region 5,Chicago,191.410162,-150
18,KY,Ky.,Kentucky,21,3,state,Region 3,Atlanta,243.371686,-120
18,KY,Ky.,Kentucky,21,3,state,Region 3,Atlanta,260.692194,-130
18,KY,Ky.,Kentucky,21,3,state,Region 3,Atlanta,260.692194,-150
18,KY,Ky.,Kentucky,21,3,state,Region 3,Atlanta,243.371686,-160
18,KY,Ky.,Kentucky,21,3,state,Region 3,Atlanta,226.051178,-150
